accession	variant	length	category	description
THN73269.1	NDM-1	270	Biological_protein	THN73269.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THN83017.1	NDM-1	270	Biological_protein	THN83017.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THN83044.1	NDM-1	270	Biological_protein	THN83044.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THN86202.1	NDM-1	270	Biological_protein	THN86202.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THN99097.1	NDM-1	270	Biological_protein	THN99097.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THO00183.1	NDM-1	270	Biological_protein	THO00183.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THO01726.1	NDM-1	270	Biological_protein	THO01726.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THO14608.1	NDM-1	270	Biological_protein	THO14608.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THO17108.1	NDM-1	270	Biological_protein	THO17108.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THO19879.1	NDM-1	270	Biological_protein	THO19879.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THO30541.1	NDM-1	270	Biological_protein	THO30541.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THO32283.1	NDM-1	270	Biological_protein	THO32283.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THO38366.1	NDM-1	270	Biological_protein	THO38366.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THO44753.1	NDM-1	270	Biological_protein	THO44753.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THO47869.1	NDM-1	270	Biological_protein	THO47869.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THO55500.1	NDM-1	270	Biological_protein	THO55500.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THO59984.1	NDM-1	270	Biological_protein	THO59984.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THO65317.1	NDM-1	270	Biological_protein	THO65317.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THO71706.1	NDM-1	270	Biological_protein	THO71706.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THO75912.1	NDM-1	270	Biological_protein	THO75912.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THO82452.1	NDM-1	270	Biological_protein	THO82452.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THO87511.1	NDM-1	270	Biological_protein	THO87511.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THO96522.1	NDM-1	270	Biological_protein	THO96522.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THP01888.1	NDM-1	270	Biological_protein	THP01888.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THP12497.1	NDM-1	270	Biological_protein	THP12497.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THP17652.1	NDM-1	270	Biological_protein	THP17652.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THP26831.1	NDM-1	270	Biological_protein	THP26831.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THP27064.1	NDM-1	270	Biological_protein	THP27064.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THP36283.1	NDM-1	270	Biological_protein	THP36283.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THP41459.1	NDM-1	270	Biological_protein	THP41459.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THP42577.1	NDM-1	270	Biological_protein	THP42577.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THP52987.1	NDM-1	270	Biological_protein	THP52987.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THP57399.1	NDM-1	270	Biological_protein	THP57399.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THP58658.1	NDM-1	270	Biological_protein	THP58658.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THP66157.1	NDM-1	270	Biological_protein	THP66157.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THP74212.1	NDM-1	270	Biological_protein	THP74212.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THP75566.1	NDM-1	270	Biological_protein	THP75566.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THP86435.1	NDM-1	270	Biological_protein	THP86435.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THP88664.1	NDM-1	270	Biological_protein	THP88664.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THP88893.1	NDM-1	270	Biological_protein	THP88893.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THQ03268.1	NDM-1	270	Biological_protein	THQ03268.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THQ03928.1	NDM-1	270	Biological_protein	THQ03928.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THQ06419.1	NDM-1	270	Biological_protein	THQ06419.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THQ19311.1	NDM-1	270	Biological_protein	THQ19311.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THQ20976.1	NDM-1	270	Biological_protein	THQ20976.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THQ22734.1	NDM-1	270	Biological_protein	THQ22734.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THQ35019.1	NDM-1	270	Biological_protein	THQ35019.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THQ36257.1	NDM-1	270	Biological_protein	THQ36257.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THQ39070.1	NDM-1	270	Biological_protein	THQ39070.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THQ51934.1	NDM-1	270	Biological_protein	THQ51934.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THQ53003.1	NDM-1	270	Biological_protein	THQ53003.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THQ54975.1	NDM-1	270	Biological_protein	THQ54975.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THQ68849.1	NDM-1	270	Biological_protein	THQ68849.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THQ79633.1	NDM-1	270	Biological_protein	THQ79633.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THQ87850.1	NDM-1	270	Biological_protein	THQ87850.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THQ90616.1	NDM-1	270	Biological_protein	THQ90616.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THR06016.1	NDM-1	270	Biological_protein	THR06016.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THR08393.1	NDM-1	270	Biological_protein	THR08393.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THR22258.1	NDM-1	270	Biological_protein	THR22258.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THR22465.1	NDM-1	270	Biological_protein	THR22465.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THR52933.1	NDM-1	270	Biological_protein	THR52933.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THR57446.1	NDM-1	270	Biological_protein	THR57446.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THR68571.1	NDM-1	270	Biological_protein	THR68571.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THR72185.1	NDM-1	270	Biological_protein	THR72185.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THR72721.1	NDM-1	270	Biological_protein	THR72721.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THR82260.1	NDM-1	270	Biological_protein	THR82260.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THR96597.1	NDM-1	270	Biological_protein	THR96597.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THS04491.1	NDM-1	270	Biological_protein	THS04491.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THS05000.1	NDM-1	270	Biological_protein	THS05000.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THS16853.1	NDM-1	270	Biological_protein	THS16853.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THS31213.1	NDM-1	270	Biological_protein	THS31213.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THS43697.1	NDM-1	270	Biological_protein	THS43697.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THS43967.1	NDM-1	270	Biological_protein	THS43967.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THS50554.1	NDM-1	270	Biological_protein	THS50554.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THS59088.1	NDM-1	270	Biological_protein	THS59088.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THS73794.1	NDM-1	270	Biological_protein	THS73794.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THS77606.1	NDM-1	270	Biological_protein	THS77606.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THS78435.1	NDM-1	270	Biological_protein	THS78435.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THT15168.1	NDM-1	270	Biological_protein	THT15168.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THT20904.1	NDM-1	270	Biological_protein	THT20904.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THT31529.1	NDM-1	270	Biological_protein	THT31529.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THT38380.1	NDM-1	270	Biological_protein	THT38380.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THT40691.1	NDM-1	270	Biological_protein	THT40691.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THT48311.1	NDM-1	270	Biological_protein	THT48311.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THT52073.1	NDM-1	270	Biological_protein	THT52073.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THT58901.1	NDM-1	270	Biological_protein	THT58901.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THT67372.1	NDM-1	270	Biological_protein	THT67372.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
THT83031.1	NDM-1	270	Biological_protein	THT83031.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THT92633.1	NDM-1	270	Biological_protein	THT92633.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THU05958.1	NDM-1	270	Biological_protein	THU05958.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THU16925.1	NDM-1	270	Biological_protein	THU16925.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
THU24909.1	NDM-1	270	Biological_protein	THU24909.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
QCF34696.1	NDM-1	270	Biological_protein	QCF34696.1 subclass B1 metallo-beta-lactamase NDM-1 [Proteus sp. (in: enterobacteria)]
QCF34697.1	NDM-1	270	Biological_protein	QCF34697.1 subclass B1 metallo-beta-lactamase NDM-1 [Proteus vulgaris]
QCF34698.1	NDM-1	270	Biological_protein	QCF34698.1 subclass B1 metallo-beta-lactamase NDM-1 [Acinetobacter johnsonii]
QCF34699.1	NDM-1	270	Biological_protein	QCF34699.1 subclass B1 metallo-beta-lactamase NDM-1 [Myroides profundi]
QCH41458.1	NDM-1	270	Biological_protein	QCH41458.1 subclass B1 metallo-beta-lactamase NDM-1 [Cloning vector pET28A-blaNDM-1]
TKD79006.1	NDM-1	270	Biological_protein	TKD79006.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
TKD91710.1	NDM-1	270	Biological_protein	TKD91710.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
TKE03117.1	NDM-1	270	Biological_protein	TKE03117.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
TKE31821.1	NDM-1	270	Biological_protein	TKE31821.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
TKE45454.1	NDM-1	270	Biological_protein	TKE45454.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
QCK75749.1	NDM-1	270	Plasmid_associated	QCK75749.1 subclass B1 metallo-beta-lactamase NDM-1 (plasmid) [Klebsiella ornithinolytica]
QCO22941.1	NDM-1	270	Plasmid_associated	QCO22941.1 subclass B1 metallo-beta-lactamase NDM-1 (plasmid) [Acinetobacter cumulans]
QCP17381.1	NDM-1	270	Biological_protein	QCP17381.1 subclass B1 metallo-beta-lactamase NDM-1 [Acinetobacter baumannii]
QCP20970.1	NDM-1	270	Biological_protein	QCP20970.1 subclass B1 metallo-beta-lactamase NDM-1 [Acinetobacter baumannii]
QCP32702.1	NDM-1	270	Biological_protein	QCP32702.1 subclass B1 metallo-beta-lactamase NDM-1 [Acinetobacter baumannii]
QCP44026.1	NDM-1	270	Biological_protein	QCP44026.1 subclass B1 metallo-beta-lactamase NDM-1 [Acinetobacter baumannii]
QCU89096.1	NDM-1	270	Plasmid_associated	QCU89096.1 subclass B1 metallo-beta-lactamase NDM-1 (plasmid) [Klebsiella pneumoniae subsp. pneumoniae]
QCX07917.1	NDM-1	270	Plasmid_associated	QCX07917.1 subclass B1 metallo-beta-lactamase NDM-1 (plasmid) [Klebsiella pneumoniae]
TNC58776.1	NDM-1	270	Biological_protein	TNC58776.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella quasipneumoniae]
QCZ37022.1	NDM-1	270	Plasmid_associated	QCZ37022.1 subclass B1 metallo-beta-lactamase NDM-1 (plasmid) [Enterobacter cloacae]
TNM73435.1	NDM-1	270	Biological_protein	TNM73435.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
QDA46016.1	NDM-1	270	Plasmid_associated	QDA46016.1 subclass B1 metallo-beta-lactamase NDM-1 (plasmid) [Escherichia coli]
TNU97085.1	NDM-1	270	Biological_protein	TNU97085.1 subclass B1 metallo-beta-lactamase NDM-1 [Providencia rettgeri]
TNV00811.1	NDM-1	270	Biological_protein	TNV00811.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
TOA77653.1	NDM-1	270	Biological_protein	TOA77653.1 subclass B1 metallo-beta-lactamase NDM-1 [Vibrio parahaemolyticus]
TPB64849.1	NDM-1	270	Biological_protein	TPB64849.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella quasipneumoniae subsp. quasipneumoniae]
QDE42104.1	NDM-1	270	Plasmid_associated	QDE42104.1 subclass B1 metallo-beta-lactamase NDM-1 (plasmid) [Citrobacter sp. CF971]
QDF35703.1	NDM-1	270	Plasmid_associated	QDF35703.1 subclass B1 metallo-beta-lactamase NDM-1 (plasmid) [Klebsiella pneumoniae]
TPU20258.1	NDM-1	270	Biological_protein	TPU20258.1 subclass B1 metallo-beta-lactamase NDM-1 [Acinetobacter baumannii]
TPU27198.1	NDM-1	270	Biological_protein	TPU27198.1 subclass B1 metallo-beta-lactamase NDM-1 [Acinetobacter baumannii]
TPV73016.1	NDM-1	270	Biological_protein	TPV73016.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
QDH75369.1	NDM-1	270	Plasmid_associated	QDH75369.1 metallo-beta-lactamase NDM-1 (plasmid) [Escherichia coli]
TQF18216.1	NDM-1	270	Biological_protein	TQF18216.1 subclass B1 metallo-beta-lactamase NDM-1 [Acinetobacter baumannii]
QDJ93933.1	NDM-1	270	Plasmid_associated	QDJ93933.1 subclass B1 metallo-beta-lactamase NDM-1 (plasmid) [Acinetobacter haemolyticus]
QDL90117.1	NDM-1	270	Plasmid_associated	QDL90117.1 NDM-1 (plasmid) [Klebsiella pneumoniae]
TRY00539.1	NDM-1	270	Biological_protein	TRY00539.1 subclass B1 metallo-beta-lactamase NDM-1 [Proteus mirabilis]
TRY01381.1	NDM-1	270	Biological_protein	TRY01381.1 subclass B1 metallo-beta-lactamase NDM-1 [Proteus mirabilis]
QDP29818.1	NDM-1	270	Biological_protein	QDP29818.1 subclass B1 metallo-beta-lactamase NDM-1 [Morganella morganii]
QDP29824.1	NDM-1	270	Biological_protein	QDP29824.1 subclass B1 metallo-beta-lactamase NDM-1 [Morganella morganii]
QDP29830.1	NDM-1	270	Biological_protein	QDP29830.1 subclass B1 metallo-beta-lactamase NDM-1 [Morganella morganii]
QDP29836.1	NDM-1	270	Biological_protein	QDP29836.1 subclass B1 metallo-beta-lactamase NDM-1 [Morganella morganii]
QDP29842.1	NDM-1	270	Biological_protein	QDP29842.1 subclass B1 metallo-beta-lactamase NDM-1 [Morganella morganii]
QDP29848.1	NDM-1	270	Biological_protein	QDP29848.1 subclass B1 metallo-beta-lactamase NDM-1 [Morganella morganii]
QDP29854.1	NDM-1	270	Biological_protein	QDP29854.1 subclass B1 metallo-beta-lactamase NDM-1 [Morganella morganii]
QDP29860.1	NDM-1	270	Biological_protein	QDP29860.1 subclass B1 metallo-beta-lactamase NDM-1 [Morganella morganii]
QDP29866.1	NDM-1	270	Biological_protein	QDP29866.1 subclass B1 metallo-beta-lactamase NDM-1 [Morganella morganii]
QDP29872.1	NDM-1	270	Biological_protein	QDP29872.1 subclass B1 metallo-beta-lactamase NDM-1 [Morganella morganii]
QDP29878.1	NDM-1	270	Biological_protein	QDP29878.1 subclass B1 metallo-beta-lactamase NDM-1 [Morganella morganii]
QDP29884.1	NDM-1	270	Biological_protein	QDP29884.1 subclass B1 metallo-beta-lactamase NDM-1 [Morganella morganii]
QDW16345.1	NDM-1	270	Plasmid_associated	QDW16345.1 subclass B1 metallo-beta-lactamase NDM-1 (plasmid) [Klebsiella pneumoniae]
TWX74541.1	NDM-1	270	Biological_protein	TWX74541.1 subclass B1 metallo-beta-lactamase NDM-1 [Enterobacter hormaechei]
TWX76182.1	NDM-1	270	Biological_protein	TWX76182.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
TWX78778.1	NDM-1	270	Biological_protein	TWX78778.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
TWY26725.1	NDM-1	270	Biological_protein	TWY26725.1 subclass B1 metallo-beta-lactamase NDM-1 [Escherichia coli]
TXM49012.1	NDM-1	270	Biological_protein	TXM49012.1 subclass B1 metallo-beta-lactamase NDM-1 [Providencia rettgeri]
TXM73040.1	NDM-1	270	Biological_protein	TXM73040.1 subclass B1 metallo-beta-lactamase NDM-1 [Providencia rettgeri]
QEI30201.1	NDM-1	270	Plasmid_associated	QEI30201.1 subclass B1 metallo-beta-lactamase NDM-1 (plasmid) [Acinetobacter pittii]
QEI45478.1	NDM-1	270	Precursor	QEI45478.1 Beta-lactamase NDM-1 precursor (plasmid) [Escherichia coli]
QEI45679.1	NDM-1	270	Precursor	QEI45679.1 Beta-lactamase NDM-1 precursor (plasmid) [Escherichia coli]
QEI45947.1	NDM-1	270	Precursor	QEI45947.1 Beta-lactamase NDM-1 precursor (plasmid) [Escherichia coli]
QEK37057.1	NDM-1	270	Biological_protein	QEK37057.1 subclass B1 metallo-beta-lactamase NDM-1 [Acinetobacter johnsonii]
QEK37644.1	NDM-1	270	Plasmid_associated	QEK37644.1 subclass B1 metallo-beta-lactamase NDM-1 (plasmid) [Acinetobacter johnsonii]
TYR71162.1	NDM-1	270	Biological_protein	TYR71162.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
QEL33740.1	NDM-1	270	Plasmid_associated	QEL33740.1 subclass B1 metallo-beta-lactamase NDM-1 (plasmid) [Enterobacter hormaechei subsp. xiangfangensis]
KAA0850941.1	NDM-1	270	Biological_protein	KAA0850941.1 subclass B1 metallo-beta-lactamase NDM-1 [Enterobacter hormaechei]
KAA0859180.1	NDM-1	270	Biological_protein	KAA0859180.1 subclass B1 metallo-beta-lactamase NDM-1 [Enterobacter hormaechei]
KAA0865112.1	NDM-1	270	Biological_protein	KAA0865112.1 subclass B1 metallo-beta-lactamase NDM-1 [Enterobacter hormaechei]
KAA0876110.1	NDM-1	270	Biological_protein	KAA0876110.1 subclass B1 metallo-beta-lactamase NDM-1 [Enterobacter hormaechei]
KAA0878714.1	NDM-1	270	Biological_protein	KAA0878714.1 subclass B1 metallo-beta-lactamase NDM-1 [Enterobacter hormaechei]
KAA0898400.1	NDM-1	270	Biological_protein	KAA0898400.1 subclass B1 metallo-beta-lactamase NDM-1 [Enterobacter hormaechei]
QEP09771.1	NDM-1	270	Plasmid_associated	QEP09771.1 NDM-1 metallo-beta-lactamase (plasmid) [Escherichia coli]
QEP09850.1	NDM-1	270	Plasmid_associated	QEP09850.1 NDM-1 metallo-beta-lactamase (plasmid) [Serratia marcescens]
VVL19695.1	NDM-1	270	Precursor	VVL19695.1 Beta-lactamase NDM-1 precursor [Klebsiella pneumoniae]
VAQ81184.1	NDM-1	270	Precursor	VAQ81184.1 Beta-lactamase NDM-1 precursor [Klebsiella pneumoniae]
QEQ70924.1	NDM-1	270	Plasmid_associated	QEQ70924.1 class B beta-lactamase NDM-1 (plasmid) [Citrobacter freundii]
QEQ71031.1	NDM-1	270	Plasmid_associated	QEQ71031.1 class B beta-lactamase NDM-1 (plasmid) [Klebsiella pneumoniae]
QEQ71152.1	NDM-1	270	Plasmid_associated	QEQ71152.1 class B beta-lactamase NDM-1 (plasmid) [Klebsiella pneumoniae]
QEQ71316.1	NDM-1	270	Plasmid_associated	QEQ71316.1 class B beta-lactamase NDM-1 (plasmid) [Serratia marcescens]
QEQ71501.1	NDM-1	270	Plasmid_associated	QEQ71501.1 class B beta-lactamase NDM-1 (plasmid) [Escherichia coli]
KAA5649099.1	NDM-1	270	Biological_protein	KAA5649099.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
KAA5681878.1	NDM-1	270	Biological_protein	KAA5681878.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
KAA5689744.1	NDM-1	270	Biological_protein	KAA5689744.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
KAA5702603.1	NDM-1	270	Biological_protein	KAA5702603.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
KAA5705163.1	NDM-1	270	Biological_protein	KAA5705163.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
KAA5712035.1	NDM-1	270	Biological_protein	KAA5712035.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
KAA5713521.1	NDM-1	270	Biological_protein	KAA5713521.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
KAA5723473.1	NDM-1	270	Biological_protein	KAA5723473.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
KAA5729354.1	NDM-1	270	Biological_protein	KAA5729354.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
KAA5738575.1	NDM-1	270	Biological_protein	KAA5738575.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
KAA5739403.1	NDM-1	270	Biological_protein	KAA5739403.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
KAA5764313.1	NDM-1	270	Biological_protein	KAA5764313.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
QET06842.1	NDM-1	270	Plasmid_associated	QET06842.1 subclass B1 metallo-beta-lactamase NDM-1 (plasmid) [Klebsiella pneumoniae]
KAA8834684.1	NDM-1	270	Plasmid_associated	KAA8834684.1 subclass B1 metallo-beta-lactamase NDM-1 (plasmid) [Klebsiella pneumoniae]
KAA8876629.1	NDM-1	270	Biological_protein	KAA8876629.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
BBO00470.1	NDM-1	270	Biological_protein	BBO00470.1 class B metallo-beta-lactamase NDM-1 [Morganella morganii]
KAB8126482.1	NDM-1	270	Biological_protein	KAB8126482.1 subclass B1 metallo-beta-lactamase NDM-1 [Klebsiella ornithinolytica]
QFV09286.1	NDM-1	270	Plasmid_associated	QFV09286.1 subclass B1 metallo-beta-lactamase NDM-1 (plasmid) [Proteus mirabilis]
QFX77346.1	NDM-1	270	Plasmid_associated	QFX77346.1 subclass B1 metallo-beta-lactamase NDM-1 (plasmid) [Klebsiella quasipneumoniae]
QFX77644.1	NDM-1	270	Plasmid_associated	QFX77644.1 Beta-lactamase NDM-1 (plasmid) [Klebsiella pneumoniae]
QFY25905.1	NDM-1	270	Plasmid_associated	QFY25905.1 subclass B1 metallo-beta-lactamase NDM-1 (plasmid) [Klebsiella variicola]
QGA46127.1	NDM-1	270	Plasmid_associated	QGA46127.1 subclass B1 metallo-beta-lactamase NDM-1 (plasmid) [Acinetobacter nosocomialis]
QGJ03450.1	NDM-1	270	Biological_protein	QGJ03450.1 subclass B1 metallo-beta-lactamase NDM-1 [Acinetobacter sp.]
QGJ03451.1	NDM-1	270	Biological_protein	QGJ03451.1 subclass B1 metallo-beta-lactamase NDM-1 [Acinetobacter sp.]
QGJ03452.1	NDM-1	270	Biological_protein	QGJ03452.1 subclass B1 metallo-beta-lactamase NDM-1 [Acinetobacter sp.]
QGJ03453.1	NDM-1	270	Biological_protein	QGJ03453.1 subclass B1 metallo-beta-lactamase NDM-1 [Acinetobacter sp.]
